|numer zera|  numer iteracji|  x2|  R2|  
| 1 | 1 | 1.17156 | -34.2531 |
| 1 | 2 | 1.02692 | -5.84693 |
| 1 | 3 | 0.997147 | 0.628384 |
| 1 | 4 | 1.00004 | -0.00803032 |
| 1 | 5 | 1 | -1.04741e-05 |
| 1 | 6 | 1 | 1.75532e-10 |
| 2 | 1 | -6.14612 | -211.972 |
| 2 | 2 | -47.6089 | 3.62948e+06 |
| 2 | 3 | -6.14855 | -212.305 |
| 2 | 4 | -6.15097 | -212.637 |
| 2 | 5 | -4.60089 | -34.2831 |
| 2 | 6 | -4.30293 | -14.1731 |
| 2 | 7 | -4.09294 | -3.65601 |
| 2 | 8 | -4.01994 | -0.732267 |
| 2 | 9 | -4.00166 | -0.0598706 |
| 2 | 10 | -4.00003 | -0.00116616 |
| 2 | 11 | -4 | -1.93278e-06 |
| 2 | 12 | -4 | -6.27551e-11 |
| 3 | 1 | 11.7417 | 3122.3 |
| 3 | 2 | 0.317661 | -57.5873 |
| 3 | 3 | 0.524549 | -54.7308 |
| 3 | 4 | 4.48854 | 270.001 |
| 3 | 5 | 1.19265 | -37.8866 |
| 3 | 6 | 1.59822 | -21.4276 |
| 3 | 7 | 2.12622 | 7.84603 |
| 3 | 8 | 1.9847 | -0.913902 |
| 3 | 9 | 1.99947 | -0.0320206 |
| 3 | 10 | 2 | 0.000139307 |
| 3 | 11 | 2 | -2.107e-08 |
| 3 | 12 | 2 | -1.42109e-14 |
| 4 | 1 | -2.29008 | 5.47346 |
| 4 | 2 | -2.79641 | 1.46656 |
| 4 | 3 | -2.98174 | 0.128181 |
| 4 | 4 | -2.99949 | 0.00360434 |
| 4 | 5 | -3 | 9.37832e-06 |
| 4 | 6 | -3 | 6.89749e-10 |
| 4 | 7 | -3 | 0 |
| 5 | 1 | -10 | -3.55271e-14 |
| 5 | 2 | -10 | 0 |
